stato,livello_acqua,tot_pompe_attive
StatoMacchina.MACCHINA_ATTIVA,68.75,4
StatoMacchina.MACCHINA_ATTIVA,67.58,4
StatoMacchina.DISATTIVA_ULTIMA_POMPA,62.61,4
StatoMacchina.MACCHINA_ATTIVA,58.6,3
StatoMacchina.MACCHINA_ATTIVA,58.9,3
StatoMacchina.MACCHINA_ATTIVA,59.2,3
StatoMacchina.MACCHINA_ATTIVA,60.73,3
StatoMacchina.MACCHINA_ATTIVA,57.18,3
StatoMacchina.MACCHINA_ATTIVA,60.96,3
StatoMacchina.MACCHINA_ATTIVA,65.74,3
StatoMacchina.ATTIVA_PROSSIMA_POMPA,70.09,3
StatoMacchina.MACCHINA_ATTIVA,68.15,4
StatoMacchina.MACCHINA_ATTIVA,73.04,4
StatoMacchina.MACCHINA_ATTIVA,72.13,4
StatoMacchina.MACCHINA_ATTIVA,71.38,4
StatoMacchina.MACCHINA_ATTIVA,71.78,4
StatoMacchina.MACCHINA_ATTIVA,73.99,4
StatoMacchina.MACCHINA_ATTIVA,70.28,4
StatoMacchina.MACCHINA_ATTIVA,68.68,4
StatoMacchina.MACCHINA_ATTIVA,71.55,4
StatoMacchina.MACCHINA_ATTIVA,76.51,4
StatoMacchina.MACCHINA_ATTIVA,76.97,4
StatoMacchina.MACCHINA_ATTIVA,72.11,4
StatoMacchina.MACCHINA_ATTIVA,74.62,4
StatoMacchina.MACCHINA_ATTIVA,70.63,4
StatoMacchina.MACCHINA_ATTIVA,74.69,4
StatoMacchina.MACCHINA_ATTIVA,71.67,4
StatoMacchina.MACCHINA_ATTIVA,70.77,4
StatoMacchina.MACCHINA_ATTIVA,74.61,4
StatoMacchina.MACCHINA_ATTIVA,69.86,4
