stato,livello_acqua,tot_pompe_attive
StatoMacchina.DISATTIVA_ULTIMA_POMPA,59.95,5
StatoMacchina.MACCHINA_ATTIVA,62.63,4
StatoMacchina.MACCHINA_ATTIVA,59.72,4
StatoMacchina.MACCHINA_ATTIVA,63.38,4
StatoMacchina.MACCHINA_ATTIVA,58.62,4
StatoMacchina.MACCHINA_ATTIVA,57.25,4
StatoMacchina.MACCHINA_ATTIVA,58.87,4
StatoMacchina.MACCHINA_ATTIVA,57.31,4
StatoMacchina.MACCHINA_ATTIVA,55.18,4
StatoMacchina.MACCHINA_ATTIVA,56.23,4
StatoMacchina.MACCHINA_ATTIVA,53.7,4
StatoMacchina.MACCHINA_ATTIVA,52.1,4
StatoMacchina.DISATTIVA_ULTIMA_POMPA,48.25,4
StatoMacchina.MACCHINA_ATTIVA,50.91,3
StatoMacchina.MACCHINA_ATTIVA,52.05,3
StatoMacchina.MACCHINA_ATTIVA,51.57,3
StatoMacchina.MACCHINA_ATTIVA,50.56,3
StatoMacchina.MACCHINA_ATTIVA,49.25,3
StatoMacchina.MACCHINA_ATTIVA,53.02,3
StatoMacchina.MACCHINA_ATTIVA,57.0,3
StatoMacchina.MACCHINA_ATTIVA,55.18,3
StatoMacchina.MACCHINA_ATTIVA,56.31,3
StatoMacchina.MACCHINA_ATTIVA,60.0,3
StatoMacchina.MACCHINA_ATTIVA,63.32,3
StatoMacchina.MACCHINA_ATTIVA,66.5,3
StatoMacchina.MACCHINA_ATTIVA,69.23,3
StatoMacchina.ATTIVA_PROSSIMA_POMPA,72.85,3
StatoMacchina.MACCHINA_ATTIVA,76.54,4
StatoMacchina.ATTIVA_PROSSIMA_POMPA,80.06,4
StatoMacchina.MACCHINA_ATTIVA,84.19,5
StatoMacchina.MACCHINA_ATTIVA,82.68,5
StatoMacchina.MACCHINA_ATTIVA,79.28,5
StatoMacchina.MACCHINA_ATTIVA,78.95,5
StatoMacchina.MACCHINA_ATTIVA,82.87,5
StatoMacchina.MACCHINA_ATTIVA,80.71,5
StatoMacchina.MACCHINA_ATTIVA,84.04,5
StatoMacchina.MACCHINA_ATTIVA,84.75,5
StatoMacchina.MACCHINA_ATTIVA,83.2,5
StatoMacchina.MACCHINA_ATTIVA,83.64,5
StatoMacchina.MACCHINA_ATTIVA,85.89,5
StatoMacchina.MACCHINA_ATTIVA,82.98,5
StatoMacchina.MACCHINA_ATTIVA,81.65,5
StatoMacchina.MACCHINA_ATTIVA,86.38,5
StatoMacchina.MACCHINA_ATTIVA,83.73,5
StatoMacchina.MACCHINA_ATTIVA,87.83,5
StatoMacchina.MACCHINA_ATTIVA,83.39,5
StatoMacchina.MACCHINA_ATTIVA,83.71,5
StatoMacchina.MACCHINA_ATTIVA,86.5,5
StatoMacchina.MACCHINA_ATTIVA,85.55,5
StatoMacchina.MACCHINA_ATTIVA,80.99,5
StatoMacchina.MACCHINA_ATTIVA,76.47,5
StatoMacchina.MACCHINA_ATTIVA,72.42,5
StatoMacchina.MACCHINA_ATTIVA,74.6,5
StatoMacchina.MACCHINA_ATTIVA,72.33,5
StatoMacchina.MACCHINA_ATTIVA,67.54,5
StatoMacchina.MACCHINA_ATTIVA,72.1,5
StatoMacchina.MACCHINA_ATTIVA,71.27,5
StatoMacchina.MACCHINA_ATTIVA,76.27,5
StatoMacchina.MACCHINA_ATTIVA,73.57,5
StatoMacchina.MACCHINA_ATTIVA,72.96,5
StatoMacchina.MACCHINA_ATTIVA,70.52,5
StatoMacchina.MACCHINA_ATTIVA,71.76,5
StatoMacchina.MACCHINA_ATTIVA,75.4,5
StatoMacchina.MACCHINA_ATTIVA,74.93,5
StatoMacchina.MACCHINA_ATTIVA,79.6,5
StatoMacchina.MACCHINA_ATTIVA,80.22,5
StatoMacchina.MACCHINA_ATTIVA,75.63,5
StatoMacchina.MACCHINA_ATTIVA,77.02,5
StatoMacchina.MACCHINA_ATTIVA,72.34,5
StatoMacchina.MACCHINA_ATTIVA,68.91,5
StatoMacchina.MACCHINA_ATTIVA,66.74,5
StatoMacchina.MACCHINA_ATTIVA,62.79,5
StatoMacchina.MACCHINA_ATTIVA,61.74,5
StatoMacchina.MACCHINA_ATTIVA,64.5,5
StatoMacchina.MACCHINA_ATTIVA,64.04,5
StatoMacchina.MACCHINA_ATTIVA,66.15,5
StatoMacchina.MACCHINA_ATTIVA,62.65,5
StatoMacchina.MACCHINA_ATTIVA,62.53,5
StatoMacchina.MACCHINA_ATTIVA,63.25,5
StatoMacchina.MACCHINA_ATTIVA,62.6,5
StatoMacchina.MACCHINA_ATTIVA,66.06,5
StatoMacchina.MACCHINA_ATTIVA,70.46,5
StatoMacchina.MACCHINA_ATTIVA,71.81,5
StatoMacchina.MACCHINA_ATTIVA,67.06,5
StatoMacchina.MACCHINA_ATTIVA,63.1,5
StatoMacchina.MACCHINA_ATTIVA,67.9,5
StatoMacchina.MACCHINA_ATTIVA,71.38,5
StatoMacchina.MACCHINA_ATTIVA,72.33,5
StatoMacchina.MACCHINA_ATTIVA,69.93,5
StatoMacchina.MACCHINA_ATTIVA,66.72,5
StatoMacchina.MACCHINA_ATTIVA,70.51,5
StatoMacchina.MACCHINA_ATTIVA,68.67,5
StatoMacchina.MACCHINA_ATTIVA,69.1,5
StatoMacchina.MACCHINA_ATTIVA,69.6,5
StatoMacchina.MACCHINA_ATTIVA,71.16,5
StatoMacchina.MACCHINA_ATTIVA,68.39,5
StatoMacchina.MACCHINA_ATTIVA,66.74,5
StatoMacchina.MACCHINA_ATTIVA,64.41,5
StatoMacchina.DISATTIVA_ULTIMA_POMPA,59.74,5
StatoMacchina.MACCHINA_ATTIVA,56.04,4
StatoMacchina.MACCHINA_ATTIVA,53.44,4
StatoMacchina.MACCHINA_ATTIVA,55.71,4
StatoMacchina.MACCHINA_ATTIVA,53.18,4
StatoMacchina.MACCHINA_ATTIVA,50.2,4
StatoMacchina.MACCHINA_ATTIVA,50.73,4
StatoMacchina.MACCHINA_ATTIVA,52.0,4
StatoMacchina.MACCHINA_ATTIVA,50.86,4
StatoMacchina.MACCHINA_ATTIVA,51.14,4
StatoMacchina.MACCHINA_ATTIVA,53.28,4
StatoMacchina.MACCHINA_ATTIVA,50.2,4
StatoMacchina.DISATTIVA_ULTIMA_POMPA,47.0,4
StatoMacchina.MACCHINA_ATTIVA,51.71,3
StatoMacchina.MACCHINA_ATTIVA,50.84,3
StatoMacchina.MACCHINA_ATTIVA,53.92,3
StatoMacchina.MACCHINA_ATTIVA,51.5,3
StatoMacchina.MACCHINA_ATTIVA,50.54,3
StatoMacchina.MACCHINA_ATTIVA,46.88,3
StatoMacchina.MACCHINA_ATTIVA,47.81,3
StatoMacchina.MACCHINA_ATTIVA,51.13,3
StatoMacchina.MACCHINA_ATTIVA,54.4,3
StatoMacchina.MACCHINA_ATTIVA,58.38,3
StatoMacchina.MACCHINA_ATTIVA,63.17,3
StatoMacchina.MACCHINA_ATTIVA,60.95,3
StatoMacchina.MACCHINA_ATTIVA,61.87,3
StatoMacchina.MACCHINA_ATTIVA,62.13,3
StatoMacchina.MACCHINA_ATTIVA,57.59,3
StatoMacchina.MACCHINA_ATTIVA,55.96,3
StatoMacchina.MACCHINA_ATTIVA,57.25,3
StatoMacchina.MACCHINA_ATTIVA,54.33,3
StatoMacchina.MACCHINA_ATTIVA,58.03,3
StatoMacchina.MACCHINA_ATTIVA,60.09,3
StatoMacchina.MACCHINA_ATTIVA,62.82,3
StatoMacchina.MACCHINA_ATTIVA,65.33,3
StatoMacchina.MACCHINA_ATTIVA,64.59,3
StatoMacchina.MACCHINA_ATTIVA,59.64,3
StatoMacchina.MACCHINA_ATTIVA,55.57,3
StatoMacchina.MACCHINA_ATTIVA,54.55,3
StatoMacchina.MACCHINA_ATTIVA,56.84,3
StatoMacchina.MACCHINA_ATTIVA,57.07,3
StatoMacchina.MACCHINA_ATTIVA,60.86,3
StatoMacchina.MACCHINA_ATTIVA,62.71,3
StatoMacchina.MACCHINA_ATTIVA,59.92,3
StatoMacchina.MACCHINA_ATTIVA,60.94,3
StatoMacchina.MACCHINA_ATTIVA,65.37,3
StatoMacchina.MACCHINA_ATTIVA,60.9,3
StatoMacchina.MACCHINA_ATTIVA,56.45,3
StatoMacchina.MACCHINA_ATTIVA,54.52,3
StatoMacchina.MACCHINA_ATTIVA,57.54,3
StatoMacchina.MACCHINA_ATTIVA,58.39,3
StatoMacchina.MACCHINA_ATTIVA,56.17,3
StatoMacchina.MACCHINA_ATTIVA,55.48,3
StatoMacchina.MACCHINA_ATTIVA,59.83,3
StatoMacchina.MACCHINA_ATTIVA,63.46,3
StatoMacchina.MACCHINA_ATTIVA,59.52,3
StatoMacchina.MACCHINA_ATTIVA,62.26,3
StatoMacchina.MACCHINA_ATTIVA,61.36,3
StatoMacchina.MACCHINA_ATTIVA,58.92,3
StatoMacchina.MACCHINA_ATTIVA,54.56,3
StatoMacchina.MACCHINA_ATTIVA,56.1,3
StatoMacchina.MACCHINA_ATTIVA,60.32,3
StatoMacchina.MACCHINA_ATTIVA,62.65,3
StatoMacchina.MACCHINA_ATTIVA,64.55,3
StatoMacchina.MACCHINA_ATTIVA,60.12,3
StatoMacchina.MACCHINA_ATTIVA,62.93,3
StatoMacchina.MACCHINA_ATTIVA,62.57,3
StatoMacchina.MACCHINA_ATTIVA,60.11,3
StatoMacchina.MACCHINA_ATTIVA,64.48,3
StatoMacchina.MACCHINA_ATTIVA,67.03,3
StatoMacchina.MACCHINA_ATTIVA,69.63,3
StatoMacchina.ATTIVA_PROSSIMA_POMPA,71.34,3
StatoMacchina.MACCHINA_ATTIVA,75.51,4
StatoMacchina.MACCHINA_ATTIVA,75.55,4
StatoMacchina.MACCHINA_ATTIVA,76.9,4
StatoMacchina.MACCHINA_ATTIVA,74.67,4
StatoMacchina.MACCHINA_ATTIVA,76.37,4
StatoMacchina.MACCHINA_ATTIVA,77.06,4
StatoMacchina.MACCHINA_ATTIVA,76.52,4
StatoMacchina.MACCHINA_ATTIVA,75.14,4
StatoMacchina.MACCHINA_ATTIVA,79.05,4
StatoMacchina.MACCHINA_ATTIVA,75.13,4
StatoMacchina.MACCHINA_ATTIVA,71.77,4
StatoMacchina.MACCHINA_ATTIVA,75.31,4
StatoMacchina.MACCHINA_ATTIVA,72.64,4
StatoMacchina.MACCHINA_ATTIVA,69.53,4
StatoMacchina.MACCHINA_ATTIVA,69.0,4
StatoMacchina.MACCHINA_ATTIVA,70.31,4
StatoMacchina.MACCHINA_ATTIVA,66.94,4
StatoMacchina.MACCHINA_ATTIVA,66.8,4
StatoMacchina.MACCHINA_ATTIVA,69.29,4
StatoMacchina.MACCHINA_ATTIVA,64.94,4
StatoMacchina.MACCHINA_ATTIVA,65.9,4
StatoMacchina.MACCHINA_ATTIVA,68.31,4
StatoMacchina.MACCHINA_ATTIVA,72.5,4
StatoMacchina.MACCHINA_ATTIVA,69.35,4
StatoMacchina.MACCHINA_ATTIVA,65.86,4
StatoMacchina.MACCHINA_ATTIVA,70.2,4
StatoMacchina.MACCHINA_ATTIVA,71.35,4
StatoMacchina.MACCHINA_ATTIVA,74.17,4
StatoMacchina.MACCHINA_ATTIVA,70.3,4
StatoMacchina.MACCHINA_ATTIVA,73.48,4
StatoMacchina.MACCHINA_ATTIVA,69.98,4
StatoMacchina.MACCHINA_ATTIVA,69.07,4
StatoMacchina.MACCHINA_ATTIVA,64.09,4
StatoMacchina.MACCHINA_ATTIVA,62.52,4
StatoMacchina.MACCHINA_ATTIVA,59.22,4
StatoMacchina.MACCHINA_ATTIVA,56.12,4
StatoMacchina.MACCHINA_ATTIVA,56.75,4
StatoMacchina.MACCHINA_ATTIVA,52.94,4
StatoMacchina.MACCHINA_ATTIVA,53.53,4
StatoMacchina.MACCHINA_ATTIVA,50.76,4
StatoMacchina.MACCHINA_ATTIVA,50.17,4
StatoMacchina.MACCHINA_ATTIVA,52.46,4
StatoMacchina.MACCHINA_ATTIVA,54.78,4
StatoMacchina.MACCHINA_ATTIVA,58.22,4
StatoMacchina.MACCHINA_ATTIVA,56.45,4
StatoMacchina.MACCHINA_ATTIVA,55.9,4
StatoMacchina.MACCHINA_ATTIVA,54.61,4
StatoMacchina.DISATTIVA_ULTIMA_POMPA,49.75,4
StatoMacchina.MACCHINA_ATTIVA,54.55,3
StatoMacchina.MACCHINA_ATTIVA,58.43,3
StatoMacchina.MACCHINA_ATTIVA,62.43,3
